ID	Gene Symbol	S1	S2	S3	S4	S5	S6	S7	N1	N2	N3	N4	N5
239058_at	FOXC2	8.480947074	7.896194831	8.266603771	6.471048562	8.101780565	6.99216353	7.46591566	5.826569292	7.102114843	6.461100806	7.26894532	5.511713941
204079_at	TPST2	9.644261482	9.320670312	10.28737858	8.518850841	9.783737323	8.427554847	9.449313281	8.123498655	8.24909598	8.005175623	8.662323278	8.134700624
209840_s_at	LRRN3	7.416481456	6.830932217	7.451545746	6.5561691	7.443640843	6.460221684	5.871004293	5.345231419	5.550736925	6.059054251	5.974413702	5.610845613
223094_s_at	ANKH	9.310531103	9.141171121	8.967221662	8.035734682	8.749603357	8.724732845	9.184806429	7.411296122	7.844833427	7.746057034	8.088366563	7.126609009
229194_at	PCGF5	8.607875265	8.803847207	8.160153987	7.130682281	9.104180619	8.254332578	8.313404109	7.08343729	7.112158724	6.854883763	7.825130615	6.89778889
206796_at	WISP1	7.621120769	7.826325483	6.82528017	7.145615624	6.436714812	7.309157408	8.127494278	5.985548465	6.572737723	5.556457649	6.750390724	5.483172301
235331_x_at	PCGF5	7.038063428	7.332094173	6.505307765	5.152177546	7.679408797	6.707874335	6.828162848	5.511673976	5.693614214	5.689475403	6.025118916	5.135453022
219049_at	ChGn	6.667540732	7.113994006	6.681389134	5.245684546	5.670480573	6.552378332	7.504437665	5.241165714	4.377812423	4.992101075	6.359062257	5.046192217
205081_at	CRIP1	7.594212302	7.97512829	7.597166946	6.844914683	8.351365327	6.404407374	7.222996617	6.158677145	6.898023164	5.212869927	6.750077063	5.507497842
220076_at	ANKH	6.792715685	6.838576993	6.144275142	5.116194655	6.468204131	6.111104102	6.774646349	4.800598156	5.149885591	5.435912592	5.188326876	4.739442775
203881_s_at	DMD	7.784426735	7.781586521	8.748588704	6.938866774	6.886807764	6.646550312	8.159682378	6.338391846	6.25681732	6.342760984	6.978928553	5.873503598
236044_at	PPAPDC1A	7.712888732	7.853417835	8.482424671	8.041718978	7.399341477	7.281808034	8.406131531	6.908663623	5.893963678	5.829139413	6.877549484	7.042266667
223092_at	ANKH	10.84724367	10.70281736	10.56769557	9.745626811	10.3149339	10.3517819	10.81375736	8.992052154	9.30760863	9.107225414	9.616696061	8.66833609
223093_at	ANKH	9.01777783	8.896673656	8.728649895	7.849384632	8.691509666	8.472727408	8.945713035	7.163052381	7.489741418	7.330531826	7.63493637	6.864283151
229638_at	IRX3	9.249768019	9.808162081	7.788795239	7.514130926	8.432543756	7.986608644	9.411673503	6.635385185	7.261378552	6.048247278	8.306287546	6.867938496
217452_s_at	B3GALT2	5.658447619	5.929137121	6.551760304	6.668503254	6.159311585	6.129818223	6.121123252	5.180633164	4.890678002	3.134463427	5.014300439	3.596308304
220351_at	CCRL1	5.438508547	5.996792203	4.685550409	3.421158237	6.721162189	4.248287529	5.602103216	3.729521738	4.145972127	3.836557367	3.339094702	3.843473444
